id,block_type,category,template,concept_style
"25","Specifications","생활용품","<div style='background-color:#fff;'><div style='background-color:#003366; color:#fff; padding:15px; text-align:center; font-size:18px; font-weight:bold;'>PRODUCT LINE UP</div><div style='padding:20px;'><div style='display:flex; align-items:center; border-bottom:1px solid #eee; padding-bottom:15px; margin-bottom:15px;'><img src='[도브 딥플리 너리싱 바디워시 제품 이미지]' style='width:100px;'><div style='padding-left:15px;'><h4 style='font-size:15px; font-weight:bold; color:#000;'>딥플리 너리싱</h4><p style='font-size:13px; color:#555; margin-top:5px;'>#10겹보습 #프리바이오틱스<br>모든 피부용</p></div></div><div style='display:flex; align-items:center; border-bottom:1px solid #eee; padding-bottom:15px; margin-bottom:15px;'><img src='[도브 시어버터 앤 바닐라 바디워시 제품 이미지]' style='width:100px;'><div style='padding-left:15px;'><h4 style='font-size:15px; font-weight:bold; color:#000;'>시어버터 앤 바닐라</h4><p style='font-size:13px; color:#555; margin-top:5px;'>#고보습 #달콤한향<br>건성 피부용</p></div></div><div style='display:flex; align-items:center; border-bottom:1px solid #eee; padding-bottom:15px; margin-bottom:15px;'><img src='[도브 센서티브 스킨 바디워시 제품 이미지]' style='width:100px;'><div style='padding-left:15px;'><h4 style='font-size:15px; font-weight:bold; color:#000;'>센서티브 스킨</h4><p style='font-size:13px; color:#555; margin-top:5px;'>#저자극 #무향료<br>민감성 피부용</p></div></div></div></div>","제품 라인업을 일목요연하게 보여주는 카탈로그 스타일입니다. 진한 남색 헤더로 섹션을 명확히 구분하고, 각 제품을 이미지와 텍스트로 구성하여 리스트 형태로 제공합니다. 구분선을 사용하여 가독성을 높인 깔끔하고 정리된 디자인입니다."
"26","BrandStory","생활용품","<div style='background-color:#f8f8f8; padding:20px; text-align:left; font-size:10px; color:#666;'><p>상품정보고시 관련 정보...</p><p>제조업자: 유니레버코리아...</p><p>...</p><div style='margin-top:20px; display:flex; justify-content:space-between; align-items:center;'><img src='[Dove 로고]' style='height:20px;'><img src='[Unilever 로고]' style='height:20px;'></div></div>","제품의 상세 정보 및 브랜드 정보를 제공하는 푸터 스타일입니다. 작은 글씨 크기와 회색 톤의 텍스트로 구성되어 있으며, 법적 고지사항이나 필수 정보를 담고 있습니다. 하단에 브랜드 로고를 배치하여 신뢰성을 더합니다."
"27","Introduction","생활용품","<div style='background-color:#f8f8f8; text-align:center; padding:40px 20px;'><h2 style='font-size:14px; color:#e67e22; letter-spacing:2px;'>PERFECT CLEANSING</h2><h1 style='font-size:28px; font-weight:bold; color:#000; margin-top:5px;'>PERFECT CLEANSING OIL</h1><img src='[주황색 액체가 담긴 투명한 용기의 클렌징 오일 제품 두 개가 나란히 있는 이미지]' style='width:70%; margin-top:20px;'></div>","깨끗하고 미니멀한 스타일로 제품을 소개합니다. 밝은 회색 배경과 간결한 타이포그래피를 사용하여 현대적인 느낌을 주며, 제품 이미지를 중앙에 배치하여 시선을 집중시킵니다."
"28","Introduction","생활용품","<div style='background-color:#fff; text-align:center; padding:40px 20px; position:relative;'><img src='[여러 화장품과 함께 놓인 클렌징 오일 제품 클로즈업 샷, 야자수 잎 그림자 효과]' style='width:90%;'><div style='position:absolute; bottom:30px; right:30px; display:flex; gap:5px;'><span style='width:60px; height:60px; border-radius:50%; background-color:#fdebd0; display:flex; align-items:center; justify-content:center; font-size:10px; color:#e67e22;'>오일<br>제형</span><span style='width:60px; height:60px; border-radius:50%; background-color:#fdebd0; display:flex; align-items:center; justify-content:center; font-size:10px; color:#e67e22;'>모든<br>피부용</span></div></div>","제품의 사용 환경을 연상시키는 감성적인 라이프스타일 컷을 활용한 스타일입니다. 부드러운 조명과 그림자 효과를 사용하여 고급스럽고 세련된 분위기를 연출하며, 원형 아이콘으로 제품의 특징을 간결하게 전달합니다."
"29","KeyFeatures","생활용품","<div style='background-color:#fcf3e8; padding:30px 20px; display:flex; justify-content:space-around; align-items:center; text-align:center;'><div style='width:22%;'><div style='width:50px; height:50px; border:1px solid #e67e22; border-radius:50%; margin:0 auto; display:flex; align-items:center; justify-content:center;'><img src='[코 모양 아이콘]' style='width:60%;'></div><p style='font-size:12px; color:#333; margin-top:10px;'>피지&블랙헤드<br>94% 개선</p></div><div style='width:22%;'><div style='width:50px; height:50px; border:1px solid #e67e22; border-radius:50%; margin:0 auto; display:flex; align-items:center; justify-content:center;'><img src='[립스틱 모양 아이콘]' style='width:60%;'></div><p style='font-size:12px; color:#333; margin-top:10px;'>메이크업<br>98% 세정</p></div><div style='width:22%;'><div style='width:50px; height:50px; border:1px solid #e67e22; border-radius:50%; margin:0 auto; display:flex; align-items:center; justify-content:center;'><img src='[구름 모양 아이콘]' style='width:60%;'></div><p style='font-size:12px; color:#333; margin-top:10px;'>미세먼지<br>99% 세정</p></div><div style='width:22%;'><div style='width:50px; height:50px; border:1px solid #e67e22; border-radius:50%; margin:0 auto; display:flex; align-items:center; justify-content:center;'><img src='[방패 모양 아이콘]' style='width:60%;'></div><p style='font-size:12px; color:#333; margin-top:10px;'>피부자극<br>테스트 완료</p></div></div>","제품의 핵심 효능을 아이콘을 통해 직관적으로 보여주는 정보 중심적 스타일입니다. 따뜻한 오렌지 계열 배경색과 원형 아이콘을 사용하여 중요한 정보를 빠르고 쉽게 파악할 수 있도록 디자인되었습니다."
"30","KeyFeatures","생활용품","<div style='background-color:#fff; padding:40px 20px;'><p style='font-size:14px; color:#e67e22;'>POINT 01</p><h3 style='font-size:20px; font-weight:bold; color:#000; margin-top:5px;'>강력해진 세정력</h3><p style='font-size:14px; color:#555; margin-top:10px;'>물과 만나 유화되어<br>모공 속 노폐물까지 말끔하게</p><img src='[물과 기름이 섞이는 유화 과정을 보여주는 클로즈업 이미지]' style='width:100%; margin-top:20px; border-radius:10px;'></div>","과학적 원리를 시각적으로 증명하는 스타일입니다. 제품의 유화 과정을 보여주는 고품질의 매크로 이미지를 사용하여 세정력에 대한 신뢰감을 높입니다. 간결한 텍스트로 이미지의 내용을 보충 설명합니다."
"31","KeyFeatures","생활용품","<div style='background-color:#fdf6f3; padding:40px 20px; text-align:center;'><p style='font-size:14px; color:#e67e22;'>POINT 02</p><h3 style='font-size:20px; font-weight:bold; color:#000; margin-top:5px;'>자연유래 성분 94%</h3><p style='font-size:14px; color:#555; margin-top:10px;'>피부에 순한 자연유래 성분으로<br>편안하게 클렌징하세요</p></div>","자연주의 컨셉을 강조하는 미니멀한 스타일입니다. 부드러운 파스텔 톤 배경과 간결한 텍스트만으로 구성하여 '순함'과 '자연'이라는 메시지에 집중하게 만듭니다. 여백을 많이 활용하여 편안하고 깨끗한 느낌을 줍니다."
"32","KeyFeatures","생활용품","<div style='background-color:#fff; padding:40px 20px;'><div style='display:flex; gap:10px;'><div style='width:50%;'><img src='[옥수수와 옥수수 배아 오일 이미지]' style='width:100%; border-radius:10px;'><p style='font-size:12px; color:#555; margin-top:5px; text-align:center;'>옥수수 배아 오일</p></div><div style='width:50%;'><img src='[살구와 살구씨 오일 이미지]' style='width:100%; border-radius:10px;'><p style='font-size:12px; color:#555; margin-top:5px; text-align:center;'>살구씨 오일</p></div></div></div>","제품의 핵심 원료를 시각적으로 보여주는 스타일입니다. 원재료와 그로부터 추출된 오일 이미지를 나란히 배치하여 자연 성분에 대한 신뢰도를 높이고, 소비자의 이해를 돕습니다."
"33","KeyFeatures","생활용품","<div style='background-color:#fff; padding:40px 20px;'><p style='font-size:14px; color:#e67e22;'>POINT 03</p><h3 style='font-size:20px; font-weight:bold; color:#000; margin-top:5px;'>가볍고 산뜻한 오일 제형</h3><img src='[투명한 병에서 따라지는 오일의 제형을 보여주는 이미지]' style='width:100%; margin-top:20px; border-radius:10px;'><p style='font-size:14px; color:#555; margin-top:10px;'>매일 사용해도 부담 없는<br>산뜻한 사용감</p></div>","제품의 텍스처를 감각적으로 표현하는 스타일입니다. 오일이 흘러내리는 순간을 포착한 이미지를 통해 '가벼움'과 '산뜻함'이라는 제품의 특징을 시각적으로 강조합니다. 따뜻한 색감의 이미지가 편안한 느낌을 줍니다."
"34","KeyFeatures","생활용품","<div style='background-color:#fff; padding:40px 20px;'><p style='font-size:14px; color:#e67e22;'>POINT 04</p><h3 style='font-size:20px; font-weight:bold; color:#000; margin-top:5px;'>7가지 씨앗에서 찾은<br>건강한 에너지</h3><p style='font-size:14px; color:#555; margin-top:10px;'>자연의 에너지를 담은 씨드 오일 콤플렉스</p><img src='[코코넛, 목화씨, 녹차씨 등 7가지 씨앗 원료 이미지 콜라주]' style='width:100%; margin-top:20px;'></div>","다양한 자연 유래 성분을 한번에 보여주는 스타일입니다. 여러 씨앗 원료 이미지를 콜라주 형태로 배열하여 제품에 풍부한 영양이 담겨 있음을 시각적으로 전달합니다."
"35","UsageGuide","생활용품","<div style='background-color:#f8f8f8; padding:40px 20px;'><h3 style='font-size:20px; font-weight:bold; color:#000; margin-bottom:20px; text-align:center;'>HOW TO USE</h3><ol style='padding-left:20px; font-size:14px; color:#333;'><li style='margin-bottom:10px;'>물기 없는 손에 오일을 2~3회 펌핑합니다.</li><li style='margin-bottom:10px;'>얼굴 전체에 부드럽게 마사지하며 메이크업을 녹여냅니다.</li><li style='margin-bottom:10px;'>소량의 물을 묻혀 30초간 마사지(유화 과정)한 후 미온수로 깨끗이 헹궈냅니다.</li></ol></div>","사용 방법을 명확하고 간결하게 전달하는 설명서 스타일입니다. 그래픽 요소 없이 텍스트만으로 구성하고, 순서가 있는 목록(ol) 태그를 사용하여 단계별 가이드를 쉽게 따라 할 수 있도록 했습니다. 배경색을 달리하여 다른 섹션과 구분합니다."
"36","Specifications","생활용품","<div style='background-color:#fff; padding:20px; font-size:11px; color:#666; line-height:1.6;'><h4 style='font-size:13px; color:#000; font-weight:bold; border-bottom:1px solid #ccc; padding-bottom:5px; margin-bottom:10px;'>상품 정보 제공 고시</h4><p><b>제품명:</b> 퍼펙트 클렌징 오일</p><p><b>용량:</b> 300ml</p><p><b>제품 주요 사양:</b> 모든 피부용</p><p><b>사용기한:</b> 제조일로부터 36개월, 개봉 후 12개월</p><p><b>화장품책임판매업자:</b> 해피바스 주식회사</p><p><b>제조국:</b> 대한민국</p><p><b>전성분:</b> 옥수수배아오일, 살구씨오일, ...</p></div>","제품의 필수 정보를 제공하는 정형화된 스타일입니다. 작은 글씨와 촘촘한 줄 간격으로 많은 정보를 담고 있으며, '상품 정보 제공 고시'라는 제목을 통해 정보의 성격을 명확히 합니다. 법적 또는 필수 고지 사항을 전달하는 데 중점을 둡니다."
"37","Comparison","생활용품","<div style='background-color:#fff; padding:40px 20px; text-align:center;'><h2 style='font-size:24px; font-weight:bold; color:#005aab;'><span style='font-style:italic; border:2px solid #005aab; border-radius:50%; padding: 2px 8px; margin-right:5px;'>!</span>깨끗한나라 순수 시그니처 혼용 출고 안내</h2><p style='font-size:16px; color:#333; margin-top:10px; margin-bottom:30px;'>순수 시그니처가 리뉴얼되어<br>변경 전·후 제품이 랜덤 배송될 수 있습니다.</p><div style='display:flex; justify-content:center; align-items:center; gap:20px;'><div style='border:1px solid #ccc; border-radius:15px; padding:20px; width:45%;'><div style='background-color:#f0f0f0; border-radius:20px; padding:5px 15px; display:inline-block; margin-bottom:15px; font-weight:bold;'>리뉴얼 전</div><img src='[리뉴얼 전 깨끗한나라 순수 시그니처 화장지 포장 이미지]' style='width:100%;'></div><span style='font-size:40px; color:#005aab; font-weight:bold;'>></span><div style='border:2px solid #005aab; border-radius:15px; padding:20px; width:45%; position:relative;'><div style='background-color:#005aab; color:#fff; border-radius:20px; padding:5px 15px; display:inline-block; margin-bottom:15px; font-weight:bold;'>리뉴얼 후</div><img src='[리뉴얼 후 깨끗한나라 순수 시그니처 화장지 포장 이미지]' style='width:100%;'></div></div></div>","제품 리뉴얼 정보를 명확하게 비교하여 안내하는 스타일입니다. '리뉴얼 전'과 '리뉴얼 후'를 명확한 레이블과 박스로 구분하고, 화살표를 사용해 변화의 흐름을 직관적으로 보여줍니다. 리뉴얼 후 제품에 파란색 테두리로 강조하여 시각적 차이를 둡니다."
"38","Comparison","생활용품","<div style='text-align:center; padding:20px; background-color:#fff;'><h1 style='font-size:24px; font-weight:bold; color:#000; margin-bottom:10px;'>리뉴얼 안내</h1><p style='font-size:14px; color:#333; margin-bottom:30px;'>리뉴얼 진행중인 상품으로 패키지, 제품명, 원료명 표기, 주의사항 문구가 상이한 동일상품을 수령하실 수 있습니다.</p><div style='margin-bottom:20px;'><div style='background-color:#808080; color:#fff; padding:10px; font-weight:bold;'>리뉴얼 전</div><img src='[리뉴얼 전 제품 후면 표시사항 이미지]' style='width:100%; border:1px solid #ccc;'></div><div><div style='background-color:#808080; color:#fff; padding:10px; font-weight:bold;'>리뉴얼 후</div><img src='[리뉴얼 후 제품 후면 표시사항 이미지]' style='width:100%; border:1px solid #ccc;'></div></div>","제품의 법적 표시사항과 같은 상세 정보의 변경 내용을 비교하는 스타일입니다. 회색 배경의 제목 바로 구분된 '리뉴얼 전'과 '리뉴얼 후' 섹션 아래에 각각의 라벨 전체 이미지를 배치하여 소비자가 직접 모든 변경점을 확인할 수 있도록 정보를 투명하게 제공합니다."
"39","Introduction","생활용품","<div style='background:linear-gradient(to bottom, #aae0ff, #eaf6ff); text-align:center; padding:50px 20px; position:relative;'><img src='[배경에 떠다니는 부드러운 흰색 원형 오브제들]' style='position:absolute; top:0; left:0; width:100%; height:100%; opacity:0.7;'><div style='position:relative;'><p style='font-size:14px; color:#005aab;'>쓸수록 기분 좋은 깨끗함</p><h2 style='font-size:28px; font-weight:bold; color:#005aab; margin-top:5px;'>순수 시그니처</h2><img src='[깨끗한나라 순수 시그니처 화장지 메인 패키지 이미지]' style='width:60%; margin-top:20px;'><div style='position:absolute; top:10px; right:10px; width:60px; height:60px; background-color:rgba(255,255,255,0.8); border:1px solid #005aab; border-radius:50%; display:flex; flex-direction:column; align-items:center; justify-content:center; font-size:10px; font-weight:bold; color:#005aab;'><span>100%</span><span>천연펄프</span></div></div></div>","깨끗함과 부드러움을 강조하는 스타일입니다. 하늘색 그라데이션 배경과 떠다니는 흰색 오브제를 사용하여 맑고 청량한 느낌을 연출합니다. 중앙에 제품 이미지를 배치하고, 100% 천연펄프 인증 마크를 추가하여 신뢰감을 더합니다."
"40","KeyFeatures","생활용품","<div style='background-color:#eaf6ff; padding:20px;'><div style='background-color:#fff; border-radius:15px; padding:20px; display:flex; justify-content:space-around; text-align:center;'><div style='width:30%;'><img src='[깃털 모양의 라인 아이콘]' style='height:40px;'><p style='font-size:14px; color:#333; margin-top:10px;'>부드러운 감촉</p></div><div style='width:30%;'><img src='[물방울 모양의 라인 아이콘]' style='height:40px;'><p style='font-size:14px; color:#333; margin-top:10px;'>깨끗한 사용감</p></div><div style='width:30%;'><img src='[세 겹의 종이를 형상화한 라인 아이콘]' style='height:40px;'><p style='font-size:14px; color:#333; margin-top:10px;'>도톰한 3겹</p></div></div></div>","제품의 세 가지 핵심 특징을 간결하게 전달하는 정보 중심 스타일입니다. 흰색의 둥근 사각형 카드 위에 심플한 라인 아이콘과 짧은 텍스트를 사용하여 가독성을 높이고, 사용자가 제품의 장점을 쉽게 인지할 수 있도록 디자인되었습니다."
"41","BrandStory","생활용품","<div style='background-color:#003d7b; color:#fff; text-align:center; padding:40px 20px;'><p style='font-size:16px;'>30년 순수, 그 이상</p><h2 style='font-family:serif; font-style:italic; font-size:28px; margin-top:5px;'>SOONSOO<br>Signature</h2><div style='border-top:1px solid #fff; border-bottom:1px solid #fff; padding:15px 0; margin-top:20px;'><p style='font-size:14px;'>누적판매 <span style='font-size:24px; font-weight:bold;'>1,800만팩</span> 돌파</p><p style='font-size:12px;'>대한민국이 사랑하는 화장지 No.1</p></div><img src='[깨끗한나라 순수 시리즈 로고]' style='height:30px; margin-top:20px;'></div>","브랜드의 역사와 성과를 강조하여 신뢰감을 구축하는 스타일입니다. 깊은 남색 배경에 흰색 텍스트를 사용하여 고급스럽고 진중한 느낌을 줍니다. 누적 판매량 같은 구체적인 수치를 크게 표시하여 브랜드의 성공을 효과적으로 전달합니다."
"42","KeyFeatures","생활용품","<div style='background:linear-gradient(to bottom, #d6efff, #f0f8ff); padding:50px 20px; text-align:center; position:relative;'><img src='[하늘 배경에 떠다니는 여러 개의 화장지 롤과 흰색 구체들]' style='width:100%;'><div style='background-color:#005aab; color:#fff; padding:20px; margin-top:-50px; position:relative; border-radius:10px; width:80%; margin-left:auto; margin-right:auto;'><p style='font-size:16px; font-weight:bold;'>도톰해서 믿을 수 있는<br>깨끗한 마무리감</p></div></div>","제품의 물리적 특성인 '도톰함'을 시각적으로 강조하는 스타일입니다. 여러 개의 화장지 롤이 떠다니는 이미지를 통해 풍성하고 부드러운 느낌을 전달하고, 하단의 파란색 정보 블록으로 제품의 핵심 장점을 다시 한번 각인시킵니다."
"43","BrandStory","생활용품","<div style='background-color:#e0f2ff; text-align:center; padding:40px 20px;'><p style='font-size:14px; color:#333;'>소중한 우리 가족을 위해</p><h3 style='font-size:18px; font-weight:bold; color:#000; margin-top:5px;'>100% 천연펄프로 만든<br>깨끗한나라 순수 시그니처</h3><img src='[햇살이 비치는 울창한 숲 이미지]' style='width:100%; border-radius:15px; margin-top:20px;'><p style='font-size:12px; color:#555; margin-top:20px;'>깨끗한나라는 나무를 심고 가꾸며<br>자연과 함께하는 미래를 만들어갑니다.</p></div>","자연 친화적인 브랜드 이미지를 구축하는 스타일입니다. 울창한 숲 이미지를 사용하여 제품의 주원료인 천연펄프의 깨끗하고 건강한 근원을 보여줍니다. '가족'과 '자연'이라는 키워드를 통해 감성적으로 접근합니다."
"44","KeyFeatures","생활용품","<div style='background-color:#e0f2ff; text-align:center; padding-bottom:40px;'><img src='[독일 더마테스트 엑설런트 등급 인증 마크]' style='width:80%;'><p style='font-size:14px; color:#333; margin-top:10px;'>까다로운 독일 피부과학연구소<br>피부자극 테스트 완료</p></div>","제품의 안전성을 인증 마크를 통해 증명하는 신뢰 중심의 스타일입니다. 공신력 있는 기관의 인증 마크를 크게 보여줌으로써 소비자가 안심하고 제품을 사용할 수 있도록 합니다. 별도의 디자인 요소 없이 인증 마크 자체에 집중하게 만듭니다."
"45","Specifications","생활용품","<div style='background-color:#fff; padding:20px;'><h3 style='font-size:16px; font-weight:bold; border-bottom:2px solid #333; padding-bottom:10px;'>품질표시</h3><table style='width:100%; text-align:left; font-size:12px; border-collapse:collapse; margin-top:10px;'><tbody><tr style='border-bottom:1px solid #eee;'><th style='padding:10px; background-color:#f8f8f8; width:30%;'>제품명</th><td style='padding:10px;'>깨끗한나라 순수 시그니처 3겹</td></tr><tr style='border-bottom:1px solid #eee;'><th style='padding:10px; background-color:#f8f8f8;'>치수</th><td style='padding:10px;'>너비 98mm, 3겹, 길이 27m</td></tr><tr style='border-bottom:1px solid #eee;'><th style='padding:10px; background-color:#f8f8f8;'>구성</th><td style='padding:10px;'>30롤</td></tr><tr style='border-bottom:1px solid #eee;'><th style='padding:10px; background-color:#f8f8f8;'>원료명</th><td style='padding:10px;'>천연펄프 100%</td></tr><tr style='border-bottom:1px solid #eee;'><th style='padding:10px; background-color:#f8f8f8;'>제조국</th><td style='padding:10px;'>대한민국</td></tr></tbody></table></div>","제품의 상세 정보를 명확하게 전달하기 위한 표 형식의 스타일입니다. 테이블을 사용하여 제품명, 치수, 원료명 등의 사양을 일목요연하게 정리했습니다. 배경색으로 행을 구분하여 가독성을 높인 기능적인 디자인입니다."
"46","Introduction","생활용품","<div style='background-color:#e0f2ff; text-align:center; padding:50px 20px;'><h2 style='font-size:28px; font-weight:bold; color:#005aab;'>부드럽고 산뜻하게</h2><p style='font-size:18px; color:#333; margin-top:10px;'>새로워진 하기스® 크린베베®를 만나보세요!</p><div style='position:relative; margin-top:30px;'><img src='[하기스 크린베베 일자형 기저귀 제품 이미지]' style='width:80%;'><div style='position:absolute; top:15%; left:5%; background-color:rgba(0,90,171,0.8); color:white; padding:5px 10px; border-radius:15px; font-size:12px;'>3중 흡수 구조로<br>뛰어난 흡수력</div><div style='position:absolute; top:40%; right:5%; background-color:rgba(0,90,171,0.8); color:white; padding:5px 10px; border-radius:15px; font-size:12px;'>부드러운<br>엠보싱 안 커버</div><div style='position:absolute; bottom:15%; right:15%; background-color:rgba(0,90,171,0.8); color:white; padding:5px 10px; border-radius:15px; font-size:12px;'>얇고 편안한<br>슬림패드</div></div></div>","부드럽고 깨끗한 느낌을 주는 소개 스타일입니다. 하늘과 구름을 연상시키는 밝은 파란색 배경을 사용하여 아기 제품의 순수한 이미지를 강조합니다. 제품 이미지 위에 주요 특징을 설명하는 말풍선을 배치하여 정보를 효과적으로 전달합니다."
"47","KeyFeatures","생활용품","<div style='background-color:#e0f2ff; padding: 20px;'><div style='background-color: #ffffff; border-radius: 20px; padding: 40px; text-align: center;'><p style='font-size:14px; color:#555;'>CHECK POINT</p><div style='width:50px; height:50px; background-color:#005aab; color:#fff; border-radius:50%; display:flex; align-items:center; justify-content:center; margin:10px auto; font-size:24px; font-weight:bold;'>1</div><h3 style='font-size:24px; color:#005aab; font-weight:bold;'>빠르게 흡수하는<br>안심 흡수력</h3><img src='[물방울이 3겹 흡수층으로 흡수되는 과정을 보여주는 그래픽]' style='width:70%; margin-top:20px;'><p style='font-size:14px; color:#333; margin-top:20px;'>3중 흡수 구조로 흡수력이 우수해<br>소변이 닿아도 보송보송해요.<br>많은 양에도 안심할 수 있어요.</p></div></div>","제품의 핵심 기능을 명확하게 설명하는 정보 중심적 스타일입니다. 파란색 원형 번호로 체크포인트를 강조하고, 기능을 시각적으로 설명하는 그래픽을 사용하여 소비자의 이해를 돕습니다. 흰색 배경의 깔끔한 카드 디자인으로 가독성을 높였습니다."
"48","KeyFeatures","생활용품","<div style='background-color:#e0f2ff; padding: 20px;'><div style='background-color: #ffffff; border-radius: 20px; padding: 40px; text-align: center;'><p style='font-size:14px; color:#555;'>CHECK POINT</p><div style='width:50px; height:50px; background-color:#005aab; color:#fff; border-radius:50%; display:flex; align-items:center; justify-content:center; margin:10px auto; font-size:24px; font-weight:bold;'>2</div><h3 style='font-size:24px; color:#005aab; font-weight:bold;'>피부에 자극 없는<br>부드러운 순면감촉</h3><div style='position:relative; margin-top:20px;'><img src='[기저귀 안쪽 커버 이미지]' style='width:100%; border-radius:10px;'><div style='position:absolute; top:10px; left:10px; border:2px solid #fff; border-radius:50%; width:100px; height:100px; overflow:hidden;'><img src='[기저귀 엠보싱 안커버 확대 이미지]' style='width:150%;'></div></div><p style='font-size:14px; color:#333; margin-top:20px;'>놀랍도록 부드러운 엠보싱 안 커버가<br>아기 피부를 편안하게 해요.</p></div></div>","제품의 부드러운 촉감을 시각적으로 강조하는 스타일입니다. 원형 돋보기 효과를 사용하여 기저귀 표면의 엠보싱을 확대하여 보여줌으로써, 소비자가 제품의 부드러움을 직접 느낄 수 있도록 유도합니다."
"49","KeyFeatures","생활용품","<div style='background-color:#e0f2ff; padding: 20px;'><div style='background-color: #ffffff; border-radius: 20px; padding: 40px; text-align: center;'><p style='font-size:14px; color:#555;'>CHECK POINT</p><div style='width:50px; height:50px; background-color:#005aab; color:#fff; border-radius:50%; display:flex; align-items:center; justify-content:center; margin:10px auto; font-size:24px; font-weight:bold;'>3</div><h3 style='font-size:24px; color:#005aab; font-weight:bold;'>자유로운 움직임에도 편안한<br>샘방지 다리밴드</h3><img src='[기저귀 다리밴드 부분의 구조를 보여주는 그래픽]' style='width:50%; margin-top:20px;'><p style='font-size:14px; color:#333; margin-top:20px;'>허벅지 부분에 다리밴드가 있어<br>옆으로 새는 것을 막아줘요.</p></div></div>","제품의 특정 기능 부위를 그래픽으로 상세히 보여주는 스타일입니다. 원형 프레임 안에 다리 밴드의 구조를 확대하여 표현하고, 그래픽 요소를 통해 샘 방지 기능을 직관적으로 설명합니다."
"50","KeyFeatures","생활용품","<div style='background-color:#e0f2ff; padding: 20px;'><div style='background-color: #ffffff; border-radius: 20px; padding: 40px; text-align: center;'><p style='font-size:14px; color:#555;'>CHECK POINT</p><div style='width:50px; height:50px; background-color:#005aab; color:#fff; border-radius:50%; display:flex; align-items:center; justify-content:center; margin:10px auto; font-size:24px; font-weight:bold;'>4</div><h3 style='font-size:24px; color:#005aab; font-weight:bold;'>한 눈에 확인할 수 있는<br>소변알림마크</h3><img src='[소변을 보면 곰돌이 무늬가 사라지는 소변알림마크 그래픽]' style='width:50%; margin-top:20px;'><p style='font-size:14px; color:#333; margin-top:20px;'>소변을 보면 곰돌이 무늬가 사라져<br>기저귀 교체시기를 알 수 있어요.</p></div></div>","사용자 편의 기능을 명확하게 전달하는 스타일입니다. 소변알림마크의 '사용 전'과 '사용 후' 상태를 아이콘과 그래픽으로 심플하게 표현하여, 기능의 작동 원리를 누구나 쉽게 이해할 수 있도록 했습니다."
"51","KeyFeatures","생활용품","<div style='background-color:#e0f2ff; padding: 20px;'><div style='background-color: #ffffff; border-radius: 20px; padding: 40px; text-align: center;'><p style='font-size:14px; color:#555;'>CHECK POINT</p><div style='width:50px; height:50px; background-color:#005aab; color:#fff; border-radius:50%; display:flex; align-items:center; justify-content:center; margin:10px auto; font-size:24px; font-weight:bold;'>5</div><h3 style='font-size:24px; color:#005aab; font-weight:bold;'><span style='background-color:#fff2a7; color:#ea8700; padding:2px 8px; border-radius:10px; font-size:16px;'>New</span> 착용감 좋은<br>얇고 편안한 슬림패드</h3><img src='[얇아진 슬림패드를 보여주는 기저귀 이미지]' style='width:80%; margin-top:20px;'><p style='font-size:14px; color:#333; margin-top:20px;'>얇아진 슬림패드로 쾌적하고 편안해요.</p><p style='font-size:12px; color:#888; margin-top:5px;'>*기존 하기스® 크린베베® 제품 대비</p></div></div>","제품의 개선점을 강조하는 스타일입니다. 'New' 태그를 사용하여 새로워진 점을 부각시키고, 제품 이미지를 통해 얇고 편안해진 착용감을 시각적으로 전달합니다. 이전 제품과의 비교 문구를 넣어 개선점을 명확히 합니다."
"52","BrandStory","생활용품","<div style='background-color:#e0f2ff; padding: 20px;'><div style='background-color: #ffffff; border-radius: 20px; padding: 40px; text-align: center;'><p style='font-size:14px; color:#555;'>CHECK POINT</p><div style='width:50px; height:50px; background-color:#005aab; color:#fff; border-radius:50%; display:flex; align-items:center; justify-content:center; margin:10px auto; font-size:24px; font-weight:bold;'>6</div><h3 style='font-size:24px; color:#005aab; font-weight:bold;'>지구 환경도 함께 생각해요!<br>플라스틱 사용 절감</h3></div></div>","기업의 사회적 책임을 강조하는 스토리텔링 스타일입니다. 간결하고 명확한 메시지를 통해 플라스틱 사용 절감이라는 친환경 노력을 전달하여, 브랜드에 대한 긍정적이고 의식 있는 이미지를 구축합니다."
"53","BrandStory","생활용품","<div style='background-color:#f0f8ff; padding:40px 20px;'><h3 style='font-size:20px; font-weight:bold; color:#000; text-align:center;'>FSC®(C139864)* 인증 획득</h3><div style='display:flex; align-items:center; margin-top:20px; background-color:#fff; padding:20px; border-radius:15px;'><img src='[FSC 인증 로고]' style='width:80px; margin-right:20px;'><p style='font-size:14px; color:#333;'>계획적인 벌목활동으로 자연환경을 훼손하지 않은 산림 환경에서 길러진 나무를 사용한 제품에만 엄격하게 심사되어 부여됩니다.<br><span style='font-size:12px; color:#888;'>*FSC®인증은 Forest Stewardship Council®(산림관리협의회)의 공식 인증서입니다.</span></p></div></div>","인증 마크를 통해 브랜드의 신뢰도와 친환경성을 강조하는 스타일입니다. FSC 공식 로고를 명확하게 제시하고, 그 의미를 상세히 설명하여 소비자가 제품 선택에 있어 중요한 가치(환경 보호)를 고려할 수 있도록 정보를 제공합니다."
